id,date,type,category,amount,note
inc1,2026-01-01,收入,生活费,3000.0,一月生活费按时发放啦
e1_1,2026-01-02,支出,餐饮,15.5,二食堂一楼土豆片盖饭
e1_2,2026-01-04,支出,餐饮,26.0,蜜雪冰城奶茶与炸鸡排
e1_3,2026-01-06,支出,购物,128.0,淘宝期末复习用厚外衣
e1_4,2026-01-08,支出,餐饮,45.0,和室友去后街吃斑鱼火锅
e1_5,2026-01-10,支出,交通,285.0,回家过寒假的高铁二等座票
e1_6,2026-01-12,支出,转账,15.0,代取快递及打印准考证劳务
e1_7,2026-01-15,支出,娱乐,68.0,网易云音乐年卡续费
e1_8,2026-01-18,支出,餐饮,54.0,假期和高中同学桌游聚会KFC
e1_9,2026-01-20,支出,购物,980.0,新年更换新手机显示屏
e1_10,2026-01-24,支出,餐饮,46.0,过年家庭聚会买水果饮料
e1_11,2026-01-28,支出,娱乐,98.0,Steam打折入手动作冒险游戏
e1_12,2026-01-30,支出,餐饮,850.0,一月份寒假在家日常伙食伙食费总结
inc2,2026-02-01,收入,生活费,3000.0,二月生活费按时发放啦
e2_1,2026-02-02,支出,交通,285.0,寒假结束返校高铁票
e2_2,2026-02-04,支出,购物,149.0,开学季寝室床上三件套
e2_3,2026-02-06,支出,餐饮,12.5,食堂梅干菜扣肉饼+豆浆
e2_4,2026-02-08,支出,转账,50.0,和舍友均摊寝室桶装水费
e2_5,2026-02-10,支出,餐饮,38.0,校门口麦当劳随心选套餐
e2_6,2026-02-12,支出,购物,340.0,买齐这学期专业课教材及笔记本
e2_7,2026-02-15,支出,餐饮,115.0,开学寝室第一次聚餐吃烤肉
e2_8,2026-02-17,支出,转账,35.0,校园网包月网费充值
e2_10,2026-02-23,支出,娱乐,128.0,跟同学去校外玩剧本杀游戏
e2_11,2026-02-26,支出,购物,65.0,超市采购纸巾洗衣服等生活用品
e2_12,2026-02-28,支出,餐饮,57.5,美团外卖黄焖鸡米饭加加餐
inc3,2026-03-01,收入,生活费,3000.0,三月生活费按时发放啦
e3_1,2026-03-02,支出,餐饮,18.0,一食堂麻辣香锅自选
e3_2,2026-03-04,支出,转账,100.0,校园卡充值话费流量套餐
e3_3,2026-03-07,支出,购物,249.0,春季百搭白色运动鞋
e3_4,2026-03-10,支出,餐饮,32.0,拼多多拼单星巴克咖啡
e3_5,2026-03-13,支出,水电,60.0,微信充值宿舍热水卡
e3_6,2026-03-16,支出,转账,45.0,打印四六级复习真题资料
e3_7,2026-03-19,支出,餐饮,950.0,三月中旬食堂一日三餐基础伙食
e3_8,2026-03-21,支出,购物,120.0,换季买了两件纯棉短袖T恤
e3_9,2026-03-24,支出,娱乐,198.0,Livehouse 音乐会门票
e3_10,2026-03-26,支出,餐饮,68.0,周五晚上和舍友点疯狂星期四
e3_11,2026-03-29,支出,购物,75.0,屈臣氏洗面奶润唇膏
e3_12,2026-03-31,支出,餐饮,76.5,买水果切和草莓零食点心
inc4,2026-04-01,收入,生活费,3000.0,四月生活费按时发放啦
e4_1,2026-04-02,支出,餐饮,16.5,清真食堂兰州牛肉拉面加蛋
e4_2,2026-04-05,支出,交通,45.0,清明假期去市内省历史博物馆地铁往返
e4_3,2026-04-08,支出,餐饮,85.0,过生日请好朋友喝喜茶吃蛋糕
e4_4,2026-04-11,支出,购物,450.0,拼多多入手蓝牙降噪耳机
e4_5,2026-04-14,支出,餐饮,1020.0,四月食堂刷卡就餐大额合并
e4_6,2026-04-16,支出,转账,30.0,校医院看感冒买药报销后自费
e4_7,2026-04-19,支出,娱乐,150.0,密室逃脱社团联谊活动
e4_8,2026-04-22,支出,购物,88.0,补充洗发水和电动牙刷头
e4_9,2026-04-25,支出,餐饮,54.0,深夜复习点校外烧烤夜宵
e4_10,2026-04-27,支出,转账,60.0,计算机二级考试报名费
e4_11,2026-04-29,支出,餐饮,49.0,汉堡王单人豪华套餐
e4_12,2026-04-30,支出,购物,142.0,夏日防晒伞与防晒喷雾
inc5,2026-05-01,收入,生活费,3000.0,五月生活费按时发放啦
e5_1,2026-05-02,支出,餐饮,22.0,五一假期留校螺蛳粉加炸蛋
e5_2,2026-05-04,支出,娱乐,45.0,看五一档青春电影大片
e5_4,2026-05-09,支出,购物,189.0,买了一把夏季上课便携小风扇与防晒帽
e5_5,2026-05-12,支出,转账,35.0,校内共享单车季度骑行卡
e5_6,2026-05-15,支出,餐饮,58.0,瑞幸咖啡拿铁两杯与甜点
e5_7,2026-05-18,支出,转账,110.0,期末小组大作业购买PPT模板与素材
e5_8,2026-05-20,支出,购物,320.0,淘宝618预售降价购入球鞋
e5_9,2026-05-22,支出,餐饮,65.0,跟学长学姐交流请教经验喝下午茶
e5_10,2026-05-23,支出,娱乐,120.0,游戏大版本更新购买精美皮肤
e5_11,2026-05-24,支出,餐饮,18.5,一食堂瓦罐汤与木桶饭
e5_12,2026-05-25,支出,购物,44.5,小卖部零食囤货（快乐水+薯片）
